"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","1783S2-015",43585.20,"1981-08-12T03:08:00Z","1981-08-12T04:34:57Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 0.9600,"                                                                                ","11111111","NONE  ","VG_0036 ","[SATURN.C4358XXX]C4358520.IMQ            ","VG_0036 ","[BROWSE.SATURN.C4358XXX]C4358520.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","S_RINGS ","1788S2-015",43585.25,"1981-08-12T03:14:24Z","1981-08-12T04:38:57Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0036 ","[S_RINGS.C4358XXX]C4358525.IMQ           ","VG_0036 ","[BROWSE.S_RINGS.C4358XXX]C4358525.IBG           "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","S_RINGS ","1792S2-015",43585.29,"1981-08-12T03:17:36Z","1981-08-12T04:42:09Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 2.8800,"                                                                                ","11111111","NONE  ","VG_0036 ","[S_RINGS.C4358XXX]C4358529.IMQ           ","VG_0036 ","[BROWSE.S_RINGS.C4358XXX]C4358529.IBG           "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","S_RINGS ","1796S2-015",43585.33,"1981-08-12T03:20:48Z","1981-08-12T04:45:21Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0036 ","[S_RINGS.C4358XXX]C4358533.IMQ           ","VG_0036 ","[BROWSE.S_RINGS.C4358XXX]C4358533.IBG           "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","S_RINGS ","1800S2-015",43585.37,"1981-08-12T03:24:00Z","1981-08-12T04:48:33Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0036 ","[S_RINGS.C4358XXX]C4358537.IMQ           ","VG_0036 ","[BROWSE.S_RINGS.C4358XXX]C4358537.IBG           "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","S_RINGS ","0004S2-014",43585.41,"1981-08-12T03:27:12Z","1981-08-12T04:51:45Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 2.8800,"                                                                                ","11111111","NONE  ","VG_0036 ","[S_RINGS.C4358XXX]C4358541.IMQ           ","VG_0036 ","[BROWSE.S_RINGS.C4358XXX]C4358541.IBG           "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","S_RINGS ","0008S2-014",43585.45,"1981-08-12T03:30:24Z","1981-08-12T04:54:57Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","ORANGE ",   3, 3.8400,"                                                                                ","11111111","NONE  ","VG_0036 ","[S_RINGS.C4358XXX]C4358545.IMQ           ","VG_0036 ","[BROWSE.S_RINGS.C4358XXX]C4358545.IBG           "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","S_RINGS ","0656S2-014",43596.33,"1981-08-12T12:08:48Z","1981-08-12T23:44:04Z","NARROW_ANGLE_CAMERA","1:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0036 ","[S_RINGS.C4359XXX]C4359633.IMQ           ","VG_0036 ","[BROWSE.S_RINGS.C4359XXX]C4359633.IBG           "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","S_RINGS ","0673S2-014",43596.50,"1981-08-12T12:22:24Z","1981-08-12T13:47:00Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0036 ","[S_RINGS.C4359XXX]C4359650.IMQ           ","VG_0036 ","[BROWSE.S_RINGS.C4359XXX]C4359650.IBG           "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","S_RINGS ","0677S2-014",43596.54,"1981-08-12T12:25:36Z","1981-08-12T13:50:12Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 2.8800,"                                                                                ","11111111","NONE  ","VG_0036 ","[S_RINGS.C4359XXX]C4359654.IMQ           ","VG_0036 ","[BROWSE.S_RINGS.C4359XXX]C4359654.IBG           "                                                                                               
