"VOYAGER_2","SATURN_ENCOUNTER ","IAPETUS ","0680S2-024",43296.57,"1981-08-02T12:28:00Z","1981-08-02T13:51:02Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","2:3    ","ORANGE ",   3, 2.8800,"                                                                                ","11111111","NONE  ","VG_0035 ","[IAPETUS]C4329657.IMQ                    ","VG_0035 ","[BROWSE.IAPETUS]C4329657.IBG                    "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","IAPETUS ","0684S2-024",43297.01,"1981-08-02T12:31:12Z","1981-08-02T13:54:14Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","2:3    ","GREEN  ",   5, 2.8800,"                                                                                ","11111111","NONE  ","VG_0035 ","[IAPETUS]C4329701.IMQ                    ","VG_0035 ","[BROWSE.IAPETUS]C4329701.IBG                    "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","IAPETUS ","0688S2-024",43297.05,"1981-08-02T12:34:24Z","1981-08-02T13:57:26Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","2:3    ","UV     ",   7, 2.8800,"                                                                                ","11111111","NONE  ","VG_0035 ","[IAPETUS]C4329705.IMQ                    ","VG_0035 ","[BROWSE.IAPETUS]C4329705.IBG                    "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0728S2-024",43297.45,"1981-08-02T13:06:24Z","1981-08-02T14:29:26Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","VIOLET ",   1, 3.8400,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329745.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329745.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0732S2-024",43297.49,"1981-08-02T13:09:36Z","1981-08-02T14:32:39Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329749.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329749.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0736S2-024",43297.53,"1981-08-02T13:12:48Z","1981-08-02T14:35:51Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","GREEN  ",   5, 2.8800,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329753.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329753.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0740S2-024",43297.57,"1981-08-02T13:16:00Z","1981-08-02T14:39:03Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329757.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329757.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0744S2-024",43298.01,"1981-08-02T13:19:12Z","1981-08-02T14:42:15Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 0.9600,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329801.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329801.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0748S2-024",43298.05,"1981-08-02T13:22:24Z","1981-08-02T14:45:27Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 7.6800,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329805.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329805.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0752S2-024",43298.09,"1981-08-02T13:25:36Z","1981-08-02T14:48:39Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329809.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329809.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0756S2-024",43298.13,"1981-08-02T13:28:48Z","1981-08-02T14:51:51Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","BLUE   ",   2, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329813.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329813.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0760S2-024",43298.17,"1981-08-02T13:32:00Z","1981-08-02T14:55:03Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.9200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329817.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329817.IBG            "                                                                                               
"VOYAGER_2","SATURN_ENCOUNTER ","SATURN  ","0763S2-024",43298.20,"1981-08-02T13:32:00Z","1981-08-02T14:57:27Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.1200,"                                                                                ","11111111","NONE  ","VG_0035 ","[SATURN.C4329XXX]C4329820.IMQ            ","VG_0035 ","[BROWSE.SATURN.C4329XXX]C4329820.IBG            "                                                                                               
