"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1255S1-006",34784.51,"1980-11-07T16:26:10Z","1980-11-07T17:51:02Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478451.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478451.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1258S1-006",34784.54,"1980-11-07T16:26:10Z","1980-11-07T17:53:26Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.9600,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478454.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478454.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1262S1-006",34784.58,"1980-11-07T16:31:46Z","1980-11-07T17:56:38Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478458.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478458.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1265S1-006",34785.01,"1980-11-07T16:31:46Z","1980-11-07T17:59:02Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 1.9200,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478501.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478501.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1269S1-006",34785.05,"1980-11-07T16:37:22Z","1980-11-07T18:02:14Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478505.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478505.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1272S1-006",34785.08,"1980-11-07T16:37:22Z","1980-11-07T18:04:38Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CH4_JS ",   0, 7.6800,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478508.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478508.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","S_RINGS ","1285S1-006",34785.21,"1980-11-07T16:50:10Z","1980-11-07T18:15:02Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[S_RINGS.C3478XXX]C3478521.IMQ           ","VG_0029 ","[BROWSE.S_RINGS.C3478XXX]C3478521.IBG           "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","S_RINGS ","1289S1-006",34785.25,"1980-11-07T16:53:22Z","1980-11-07T18:18:14Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[S_RINGS.C3478XXX]C3478525.IMQ           ","VG_0029 ","[BROWSE.S_RINGS.C3478XXX]C3478525.IBG           "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","S_RINGS ","1300S1-006",34785.36,"1980-11-07T17:02:10Z","1980-11-07T18:27:02Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[S_RINGS.C3478XXX]C3478536.IMQ           ","VG_0029 ","[BROWSE.S_RINGS.C3478XXX]C3478536.IBG           "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","S_RINGS ","1304S1-006",34785.40,"1980-11-07T17:05:22Z","1980-11-07T18:30:14Z","NARROW_ANGLE_CAMERA","3:1    ","NAONLY ","LOW    ","1:1    ","CLEAR  ",   0, 5.7600,"                                                                                ","11111111","NONE  ","VG_0029 ","[S_RINGS.C3478XXX]C3478540.IMQ           ","VG_0029 ","[BROWSE.S_RINGS.C3478XXX]C3478540.IBG           "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1374S1-006",34786.50,"1980-11-07T18:01:22Z","1980-11-07T19:26:14Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478650.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478650.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1377S1-006",34786.53,"1980-11-07T18:01:22Z","1980-11-07T19:28:38Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   1, 0.3600,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478653.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478653.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1381S1-006",34786.57,"1980-11-07T18:06:58Z","1980-11-07T19:31:50Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478657.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478657.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1384S1-006",34787.00,"1980-11-07T18:06:58Z","1980-11-07T19:34:14Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   3, 0.9600,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478700.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478700.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1388S1-006",34787.04,"1980-11-07T18:12:34Z","1980-11-07T19:37:26Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478704.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478704.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1391S1-006",34787.07,"1980-11-07T18:12:34Z","1980-11-07T19:39:50Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","ORANGE ",   7, 1.9200,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478707.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478707.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1395S1-006",34787.11,"1980-11-07T18:18:10Z","1980-11-07T19:43:02Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0029 ","[SATURN.C3478XXX]C3478711.IMQ            ","VG_0029 ","[BROWSE.SATURN.C3478XXX]C3478711.IBG            "                                                                                               
