"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1691S1+022",35632.07,"1980-12-05T22:12:35Z","1980-12-05T23:38:03Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563207.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563207.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1695S1+022",35632.11,"1980-12-05T22:18:11Z","1980-12-05T23:41:15Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563211.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563211.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1698S1+022",35632.14,"1980-12-05T22:18:11Z","1980-12-05T23:43:39Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563214.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563214.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1702S1+022",35632.18,"1980-12-05T22:23:47Z","1980-12-05T23:46:51Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","UV     ",   7,15.3600,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563218.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563218.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1705S1+022",35632.21,"1980-12-05T22:23:47Z","1980-12-05T23:49:15Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563221.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563221.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1709S1+022",35632.25,"1980-12-05T22:29:23Z","1980-12-05T23:52:27Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","VIOLET ",   1, 1.9200,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563225.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563225.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1712S1+022",35632.28,"1980-12-05T22:29:23Z","1980-12-05T23:54:51Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563228.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563228.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1716S1+022",35632.32,"1980-12-05T22:34:59Z","1980-12-05T23:58:03Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","BLUE   ",   2, 1.4400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563232.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563232.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1719S1+022",35632.35,"1980-12-05T22:34:59Z","1980-12-06T00:00:27Z","WIDE_ANGLE_CAMERA  ","3:1    ","BOTSIM ","LOW    ","1:1    ","CLEAR  ",   2, 3.8400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563235.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563235.IBG            "                                                                                               
"VOYAGER_1","SATURN_ENCOUNTER ","SATURN  ","1723S1+022",35632.39,"1980-12-05T22:40:35Z","1980-12-06T00:03:39Z","NARROW_ANGLE_CAMERA","3:1    ","BOTSIM ","LOW    ","1:1    ","GREEN  ",   5, 1.4400,"                                                                                ","11111111","NONE  ","VG_0032 ","[SATURN.C3563XXX]C3563239.IMQ            ","VG_0032 ","[BROWSE.SATURN.C3563XXX]C3563239.IBG            "                                                                                               
